tx, ty, tz 
0.0002759303606580943, -0.00044822145719081163, -0.0002204737684223801
0.00028766313334926963, -0.0004308022034820169, -0.00022218021331354976
0.00028695003129541874, -0.0004507509001996368, -0.00020980900444556028
0.0002764746895991266, -0.00042926421156153083, -0.00018681853543967009
0.00028702872805297375, -0.0004216442466713488, -0.0002161310112569481
0.00028850004309788346, -0.0004241880087647587, -0.00021920280414633453
0.00025460877805016935, -0.00040534904110245407, -0.00023764451907481998
0.00025760571588762105, -0.00041008132393471897, -0.00021430432389024645
0.00027286470867693424, -0.00045218176092021167, -0.00024154037237167358
0.00027997593861073256, -0.00048270646948367357, -0.0002538785629440099
0.0002816745836753398, -0.00047434508451260626, -0.00024182900961022824
0.00030623318161815405, -0.0004913369193673134, -0.000297287420835346
0.0003112583071924746, -0.0005325382808223367, -0.0003036821144632995
0.00031328294426202774, -0.0005571875371970236, -0.00029309766250662506
0.0003075511194765568, -0.0005418945220299065, -0.00028865679632872343
0.00030101186712272465, -0.0005378784262575209, -0.0002938261313829571
0.00031649385346099734, -0.0005060978000983596, -0.0003007367777172476
0.0003175614110659808, -0.000462746451376006, -0.0002864160342141986
0.0003057874273508787, -0.0005075998487882316, -0.00031763094011694193
0.0003276979841757566, -0.0005175119731575251, -0.0003342506824992597
0.00033612039987929165, -0.0005451722536236048, -0.00032382452627643943
0.0003332087362650782, -0.0005270239780656993, -0.00031367322662845254
0.00033195342984981835, -0.00053329550428316, -0.00030556542333215475
0.00032046413980424404, -0.0005353576852940023, -0.0002867715375032276
0.0003262098762206733, -0.000618829217273742, -0.000281075801467523
0.00032051693415269256, -0.000575894140638411, -0.0002697980962693691
0.0003213689778931439, -0.0005500115221366286, -0.00026239719591103494
0.0003150811535306275, -0.0005517461686395109, -0.00025388289941474795
0.00032169101177714765, -0.000554855796508491, -0.0002772325533442199
0.00030465409508906305, -0.0005300017073750496, -0.0002642336767166853
0.0002958008844871074, -0.0005655220011249185, -0.0003272012108936906
0.00030912517104297876, -0.0005585053004324436, -0.0003302797849755734
0.00032238211133517325, -0.0005748832481913269, -0.0003311506879981607
0.00032446059049107134, -0.0005760786589235067, -0.0003316858201287687
0.0003365644079167396, -0.0006180418422445655, -0.0003301924734842032
0.0003246998239774257, -0.0006019634893164039, -0.00029845675453543663
0.00032442068913951516, -0.0006405769963748753, -0.00031258718809112906
0.0003054299741052091, -0.0006558669847436249, -0.00032002455554902554
0.0003034995752386749, -0.00066016596974805, -0.00029861030634492636
0.0003163166984450072, -0.0006530543905682862, -0.0003178329498041421
0.0003220582730136812, -0.000680160301271826, -0.00032797682797536254
0.00033585348865017295, -0.0006626963149756193, -0.0003279467928223312
0.0003226740227546543, -0.0006258281064219773, -0.000312417367240414
0.00032377353636547923, -0.0006674907053820789, -0.0003214722091797739
0.00033795335912145674, -0.0006794341024942696, -0.00032933245529420674
0.000327448797179386, -0.0006631281576119363, -0.00031234577181749046
0.0003278615768067539, -0.0006551644182763994, -0.00033449960756115615
0.00033979243016801775, -0.000673981208819896, -0.00035136990481987596
0.0003363101277500391, -0.0006384205771610141, -0.0003229591529816389
0.00036841686232946813, -0.0006425342871807516, -0.00035267125349491835
0.0003598310868255794, -0.0006100094760768116, -0.0003340132243465632
0.00034736207453534007, -0.0005332350265234709, -0.0002982833539135754
0.0003603433433454484, -0.0005491106421686709, -0.00030160145252011716
0.00035868160193786025, -0.0005385610274970531, -0.0002952604554593563
0.0003557664167601615, -0.0005286817322485149, -0.00029142017592675984
0.0003586080565582961, -0.0005684559000656009, -0.0002992686058860272
0.0003606050449889153, -0.0005525757442228496, -0.00027746192063204944
0.0003487631620373577, -0.0005608877982012928, -0.00027417801902629435
0.00036206416552886367, -0.0005724244401790202, -0.0002748144615907222
0.0003647148550953716, -0.0006183690275065601, -0.0002721427008509636
0.0003561375488061458, -0.0005999119020998478, -0.0002638362057041377
0.00037312976201064885, -0.0006229550344869494, -0.00028357660630717874
0.00036975237890146673, -0.0006417451659217477, -0.00028728495817631483
0.0003747907467186451, -0.0006679610814899206, -0.00027897072141058743
0.0003727519069798291, -0.0006210783612914383, -0.00024712804588489234
0.00035869525163434446, -0.000503074552398175, -0.00023534406500402838
0.00036490996717475355, -0.0005797244957648218, -0.00022743998852092773
0.00036645089858211577, -0.0005834917537868023, -0.00023495704226661474
0.00036600438761524856, -0.0005767331458628178, -0.0002241719193989411
0.0003833523078355938, -0.0005754174198955297, -0.00022510877170134336
0.00039740701322443783, -0.0006056009442545474, -0.0002538057160563767
0.00041117327054962516, -0.0005325395613908768, -0.00024674844462424517
0.00040323197026737034, -0.0005304489168338478, -0.00021265253599267453
0.0004181937256362289, -0.0005664637428708375, -0.00023508207232225686
0.0004299315332900733, -0.0006221971707418561, -0.0002459083334542811
0.0003653128514997661, -0.00034582705120556056, -0.0001602820702828467
0.00038508858415298164, -0.0005363925592973828, -0.00018998813175130635
0.0003909998922608793, -0.0005518762045539916, -0.0002119601413141936
0.0004200254625175148, -0.0006887081544846296, -0.0002287665702169761
0.00042337339255027473, -0.000670089793857187, -0.00022842746693640947
0.0004137699434068054, -0.0006593003054149449, -0.00021206149540375918
0.0004082371015101671, -0.0006169533007778227, -0.0002217899018432945
0.00041230698116123676, -0.0006917061400599778, -0.0002529547782614827
0.00041850103298202157, -0.0006802495918236673, -0.0002277234016219154
0.0004198073293082416, -0.0006837766268290579, -0.00022613098553847522
0.0004263016162440181, -0.000688818865455687, -0.00022391803213395178
0.0004169957828707993, -0.0006089533562771976, -0.00021300424123182893
0.000401616794988513, -0.0006032345700077713, -0.0002264309296151623
0.0003792596107814461, -0.0006284069968387485, -0.00031983936787582934
0.00037122596404515207, -0.0005948020261712372, -0.00028551105060614645
0.000252097612246871, -0.0005007931613363326, -0.0003961599140893668
0.0002176764392061159, -0.0005027017323300242, -0.00044838874600827694
0.00012014052481390536, -0.0005098179681226611, -0.0006532490951940417
0.00010773508984129876, -0.0005076556699350476, -0.0006226052646525204
0.00013369249063543975, -0.0005338024930097163, -0.0006122828926891088
0.00013050252164248377, -0.000589295697864145, -0.0006295130006037652
0.00016308552585542202, -0.0005859378143213689, -0.0005686101503670216
9.650702122598886e-05, -0.0005693836719729006, -0.0007179022068157792
0.0002165145124308765, -0.0006583741051144898, -0.0005916791269555688
0.00027174141723662615, -0.0006873628590255976, -0.0005445567658171058
0.0002476896333973855, -0.0007310694782063365, -0.0005324846133589745
0.000260706408880651, -0.000695839524269104, -0.0004602560366038233
0.00024145198403857648, -0.0006642948719672859, -0.0005157907726243138
0.00018894700042437762, -0.000688339932821691, -0.0006063151522539556
4.8715239245211706e-05, -0.0006301259272731841, -0.0009432566585019231
0.00016165019769687206, -0.0006006882758811116, -0.0005770387360826135
9.347293962491676e-05, -0.0005222992040216923, -0.00063660042360425
1.6821184544824064e-05, -0.000543777015991509, -0.0008492995402775705
8.914942009141669e-05, -0.0005449862801469862, -0.0006923527107574046
0.00010045042290585116, -0.0005326370010152459, -0.0006310769240371883
0.00011840097431559116, -0.0005538080004043877, -0.000593226111959666
-5.565226274484303e-06, -0.0005276899319142103, -0.0009178254986181855
-3.702320100273937e-05, -0.0004739089636132121, -0.0008917005034163594
2.1512219973374158e-05, -0.000522901420481503, -0.000784979376476258
4.634986908058636e-05, -0.0005467695882543921, -0.000732546322979033
0.00014193225069902837, -0.0006060281884856522, -0.0006036070990376174
0.00019662364502437413, -0.0006413375958800316, -0.000518767221365124
-0.00038256970583461225, -0.00013129615399520844, -0.0008524609147571027
2.0126853996771388e-06, -0.00042795672197826207, -0.0007279796409420669
-0.00013023673091083765, -0.00022578447533305734, -0.000600153929553926
-0.00020281012984924018, 6.798965387133649e-06, -0.0004997496725991368
-0.00024023074365686625, 0.00013269405462779105, -0.00038588306051678956
-0.0002510997583158314, 0.0002198266884079203, -0.0002832369937095791
-0.0005221767351031303, 0.0004320325970184058, -0.000591576099395752
-0.00033429989707656205, -0.00011079086834797636, -0.0006677176570519805
-0.0001665295276325196, -0.00039407331496477127, -0.0005803019157610834
-0.00030263394000940025, -2.975593088194728e-05, -0.0006341037806123495
-0.00036784031544812024, 6.408798799384385e-05, -0.000795321015175432
-0.000264212692854926, -0.00033018068643286824, -0.0007065339013934135
-0.00037087316741235554, -8.31928919069469e-05, -0.0007884168298915029
-0.0006545283831655979, 0.00017860419757198542, -0.0009968929225578904
-0.0006812881329096854, -8.478415838908404e-05, -0.0012859057169407606
-0.0007523638196289539, -7.276478572748601e-05, -0.0014400782529264688
-0.0007745356415398419, -0.00017787770775612444, -0.0015780201647430658
-0.000833690632134676, -0.00018061070295516402, -0.0016770389629527926
-0.0008669198723509908, -0.00016196286014746875, -0.0017727656522765756
-0.0008683903724886477, -0.00017980982374865562, -0.0018072514794766903
-0.0006446832558140159, -0.0001496508193667978, -0.0014237373834475875
-0.0007393705891445279, -5.8646841353038326e-05, -0.0014837784692645073
-0.0007976273773238063, -4.40243529737927e-05, -0.0015905244508758187
-0.0008290074183605611, -0.00010262119758408517, -0.0017332440475001931
-0.0008664443739689887, -4.9933205445995554e-05, -0.0017681526951491833
-0.0008813899476081133, 4.62645293737296e-05, -0.001736972015351057
-0.0009940668242052197, 0.0001240562560269609, -0.0017836325569078326
-0.0010679684346541762, 0.0001916655310196802, -0.0018361309776082635
-0.0011362081859260798, 0.0002663572668097913, -0.0018257108749821782
-0.001145286369137466, 0.0003289861779194325, -0.0017692905385047197
-0.0012122578918933868, 0.00042800779920071363, -0.0017718308372423053
-0.0011992005165666342, 0.00046293690684251487, -0.0017036544159054756
-0.0011847770074382424, 0.0005387199926190078, -0.0016221354017034173
-0.001285651815123856, 0.0005567763582803309, -0.0017632078379392624
-0.0012827899772673845, 0.0005771557916887105, -0.001726631773635745
-0.001411466859281063, 0.0006550115067511797, -0.0019228176679462194
-0.00124384555965662, 0.0005091556231491268, -0.0016922428039833903
-0.0012890726793557405, 0.0005560093559324741, -0.0017486998112872243
-0.0012310853926464915, 0.0003198648046236485, -0.0019904770888388157
-0.0011648715008050203, 0.0005057601374574006, -0.0016272906213998795
-0.0010914925951510668, 0.0003241010126657784, -0.0017148064216598868
-0.0007940449868328869, -1.6147496353369206e-05, -0.0016855114372447133
-0.0006098805461078882, -0.0001690233184490353, -0.0015779577661305666
-0.0003854790120385587, -0.00024614023277536035, -0.0012529498199000955
-0.00022062586504034698, -0.00029175085364840925, -0.0010856454027816653
-0.0002802503004204482, -5.98474289290607e-05, -0.0010577754583209753
-0.00035594633664004505, 8.196034286811482e-06, -0.0011521679116412997
-0.0003186708490829915, 0.00018892379011958838, -0.0007517383201047778
-0.00031449354719370604, 0.0003246500273235142, -0.0006021640729159117
-0.0003752773336600512, 0.00043292835471220315, -0.0006100411410443485
-0.00034213942126370966, 0.0001870865235105157, -0.0007783339242450893
-8.360330684809014e-05, -7.982986426213756e-05, -0.0007631085463799536
-0.00014759166515432298, -0.00011009925219696015, -0.001121234497986734
-0.000277041457593441, -0.00010065361857414246, -0.0014037953224033117
-0.0006270778249017894, 0.0003113546990789473, -0.0014277503360062838
-0.0003936929570045322, -8.672152034705505e-05, -0.0017707428196445107
-0.00035661415313370526, 0.0001352853432763368, -0.0009646074613556266
-0.00010234832734568045, -0.0005470169126056135, -0.001048836624249816
-0.00037268316373229027, -0.0003411439247429371, -0.001311059924773872
-0.0006917690043337643, 0.0002848466101568192, -0.0012555706780403852
-0.0007594118942506611, 0.0004719274875242263, -0.001108498894609511
-0.0007500408682972193, 0.0002770383143797517, -0.0017095613293349743
-0.0007483520894311368, 2.6155466912314296e-05, -0.001995412865653634
-0.0004512498271651566, -0.00014148649643175304, -0.001517451019026339
-0.0002883535635191947, -0.00022198456281330436, -0.0012126772198826075
-0.0006098266458138824, -0.00026003943639807403, -0.0019319377606734633
-0.00025530182756483555, -0.000350736896507442, -0.001296519418247044
-0.00018484087195247412, -0.00031740247504785657, -0.0008927345043048263
6.62666798234568e-06, -0.0005377816269174218, -0.0007379006710834801
7.463138899765909e-05, -0.0005214973934926093, -0.0005447689327411354
-6.471966480603442e-05, 6.298080552369356e-05, -0.0003055547713302076
-0.00016407508519478142, 0.00027408840833231807, -0.00022304235608316958
-0.00019882306514773518, 0.0003453767276369035, -0.00016231836343649775
-0.08101311326026917, 0.049136869609355927, 0.023793134838342667
-0.08109989762306213, 0.04933200776576996, 0.024063197895884514
-0.08115880191326141, 0.049455445259809494, 0.024208838120102882
-0.08120222389698029, 0.04954763129353523, 0.024366077035665512
-0.08123398572206497, 0.04956534132361412, 0.024445027112960815
-0.08127047121524811, 0.049600955098867416, 0.024500789120793343
-0.0812903642654419, 0.04961317032575607, 0.024558495730161667
